csvbase_row_id,licenseId,name,isOsiApproved,isFsfLibre,isDeprecatedLicenseId,detailsUrl,referenceNumber,reference,seeAlso
272,GFDL-1.3-no-invariants-only,GNU Free Documentation License v1.3 only - no invariants,False,,False,https://spdx.org/licenses/GFDL-1.3-no-invariants-only.json,59,https://spdx.org/licenses/GFDL-1.3-no-invariants-only.html,['https://www.gnu.org/licenses/fdl-1.3.txt']
273,GFDL-1.3-no-invariants-or-later,GNU Free Documentation License v1.3 or later - no invariants,False,,False,https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.json,180,https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.html,['https://www.gnu.org/licenses/fdl-1.3.txt']
274,GFDL-1.3-only,GNU Free Documentation License v1.3 only,False,True,False,https://spdx.org/licenses/GFDL-1.3-only.json,648,https://spdx.org/licenses/GFDL-1.3-only.html,['https://www.gnu.org/licenses/fdl-1.3.txt']
275,GFDL-1.3-or-later,GNU Free Documentation License v1.3 or later,False,True,False,https://spdx.org/licenses/GFDL-1.3-or-later.json,494,https://spdx.org/licenses/GFDL-1.3-or-later.html,['https://www.gnu.org/licenses/fdl-1.3.txt']
276,Giftware,Giftware License,False,,False,https://spdx.org/licenses/Giftware.json,617,https://spdx.org/licenses/Giftware.html,['http://liballeg.org/license.html#allegro-4-the-giftware-license']
277,GL2PS,GL2PS License,False,,False,https://spdx.org/licenses/GL2PS.json,229,https://spdx.org/licenses/GL2PS.html,['http://www.geuz.org/gl2ps/COPYING.GL2PS']
278,Glide,3dfx Glide License,False,,False,https://spdx.org/licenses/Glide.json,619,https://spdx.org/licenses/Glide.html,['http://www.users.on.net/~triforce/glidexp/COPYING.txt']
279,Glulxe,Glulxe License,False,,False,https://spdx.org/licenses/Glulxe.json,428,https://spdx.org/licenses/Glulxe.html,['https://fedoraproject.org/wiki/Licensing/Glulxe']
280,GLWTPL,Good Luck With That Public License,False,,False,https://spdx.org/licenses/GLWTPL.json,154,https://spdx.org/licenses/GLWTPL.html,['https://github.com/me-shaon/GLWTPL/commit/da5f6bc734095efbacb442c0b31e33a65b9d6e85']
281,gnuplot,gnuplot License,False,True,False,https://spdx.org/licenses/gnuplot.json,272,https://spdx.org/licenses/gnuplot.html,['https://fedoraproject.org/wiki/Licensing/Gnuplot']
282,GPL-1.0,GNU General Public License v1.0 only,False,,True,https://spdx.org/licenses/GPL-1.0.json,364,https://spdx.org/licenses/GPL-1.0.html,['https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html']
283,GPL-1.0+,GNU General Public License v1.0 or later,False,,True,https://spdx.org/licenses/GPL-1.0+.json,64,https://spdx.org/licenses/GPL-1.0+.html,['https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html']
284,GPL-1.0-only,GNU General Public License v1.0 only,False,,False,https://spdx.org/licenses/GPL-1.0-only.json,562,https://spdx.org/licenses/GPL-1.0-only.html,['https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html']
285,GPL-1.0-or-later,GNU General Public License v1.0 or later,False,,False,https://spdx.org/licenses/GPL-1.0-or-later.json,557,https://spdx.org/licenses/GPL-1.0-or-later.html,['https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html']
286,GPL-2.0,GNU General Public License v2.0 only,True,True,True,https://spdx.org/licenses/GPL-2.0.json,612,https://spdx.org/licenses/GPL-2.0.html,"['https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html', 'https://opensource.org/licenses/GPL-2.0']"
287,GPL-2.0+,GNU General Public License v2.0 or later,True,True,True,https://spdx.org/licenses/GPL-2.0+.json,93,https://spdx.org/licenses/GPL-2.0+.html,"['https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html', 'https://opensource.org/licenses/GPL-2.0']"
288,GPL-2.0-only,GNU General Public License v2.0 only,True,True,False,https://spdx.org/licenses/GPL-2.0-only.json,483,https://spdx.org/licenses/GPL-2.0-only.html,"['https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html', 'https://www.gnu.org/licenses/old-licenses/gpl-2.0.txt', 'https://opensource.org/licenses/GPL-2.0']"
289,GPL-2.0-or-later,GNU General Public License v2.0 or later,True,True,False,https://spdx.org/licenses/GPL-2.0-or-later.json,356,https://spdx.org/licenses/GPL-2.0-or-later.html,"['https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html', 'https://opensource.org/licenses/GPL-2.0']"
290,GPL-2.0-with-autoconf-exception,GNU General Public License v2.0 w/Autoconf exception,False,,True,https://spdx.org/licenses/GPL-2.0-with-autoconf-exception.json,474,https://spdx.org/licenses/GPL-2.0-with-autoconf-exception.html,['http://ac-archive.sourceforge.net/doc/copyright.html']
291,GPL-2.0-with-bison-exception,GNU General Public License v2.0 w/Bison exception,False,,True,https://spdx.org/licenses/GPL-2.0-with-bison-exception.json,491,https://spdx.org/licenses/GPL-2.0-with-bison-exception.html,['http://git.savannah.gnu.org/cgit/bison.git/tree/data/yacc.c?id=193d7c7054ba7197b0789e14965b739162319b5e#n141']
292,GPL-2.0-with-classpath-exception,GNU General Public License v2.0 w/Classpath exception,False,,True,https://spdx.org/licenses/GPL-2.0-with-classpath-exception.json,144,https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html,['https://www.gnu.org/software/classpath/license.html']
293,GPL-2.0-with-font-exception,GNU General Public License v2.0 w/Font exception,False,,True,https://spdx.org/licenses/GPL-2.0-with-font-exception.json,578,https://spdx.org/licenses/GPL-2.0-with-font-exception.html,['https://www.gnu.org/licenses/gpl-faq.html#FontException']
294,GPL-2.0-with-GCC-exception,GNU General Public License v2.0 w/GCC Runtime Library exception,False,,True,https://spdx.org/licenses/GPL-2.0-with-GCC-exception.json,452,https://spdx.org/licenses/GPL-2.0-with-GCC-exception.html,['https://gcc.gnu.org/git/?p=gcc.git;a=blob;f=gcc/libgcc1.c;h=762f5143fc6eed57b6797c82710f3538aa52b40b;hb=cb143a3ce4fb417c68f5fa2691a1b1b1053dfba9#l10']
295,GPL-3.0,GNU General Public License v3.0 only,True,True,True,https://spdx.org/licenses/GPL-3.0.json,434,https://spdx.org/licenses/GPL-3.0.html,"['https://www.gnu.org/licenses/gpl-3.0-standalone.html', 'https://opensource.org/licenses/GPL-3.0']"
296,GPL-3.0+,GNU General Public License v3.0 or later,True,True,True,https://spdx.org/licenses/GPL-3.0+.json,585,https://spdx.org/licenses/GPL-3.0+.html,"['https://www.gnu.org/licenses/gpl-3.0-standalone.html', 'https://opensource.org/licenses/GPL-3.0']"
297,GPL-3.0-only,GNU General Public License v3.0 only,True,True,False,https://spdx.org/licenses/GPL-3.0-only.json,43,https://spdx.org/licenses/GPL-3.0-only.html,"['https://www.gnu.org/licenses/gpl-3.0-standalone.html', 'https://opensource.org/licenses/GPL-3.0']"
298,GPL-3.0-or-later,GNU General Public License v3.0 or later,True,True,False,https://spdx.org/licenses/GPL-3.0-or-later.json,281,https://spdx.org/licenses/GPL-3.0-or-later.html,"['https://www.gnu.org/licenses/gpl-3.0-standalone.html', 'https://opensource.org/licenses/GPL-3.0']"
299,GPL-3.0-with-autoconf-exception,GNU General Public License v3.0 w/Autoconf exception,False,,True,https://spdx.org/licenses/GPL-3.0-with-autoconf-exception.json,199,https://spdx.org/licenses/GPL-3.0-with-autoconf-exception.html,['https://www.gnu.org/licenses/autoconf-exception-3.0.html']
300,GPL-3.0-with-GCC-exception,GNU General Public License v3.0 w/GCC Runtime Library exception,True,,True,https://spdx.org/licenses/GPL-3.0-with-GCC-exception.json,545,https://spdx.org/licenses/GPL-3.0-with-GCC-exception.html,['https://www.gnu.org/licenses/gcc-exception-3.1.html']
301,Graphics-Gems,Graphics Gems License,False,,False,https://spdx.org/licenses/Graphics-Gems.json,437,https://spdx.org/licenses/Graphics-Gems.html,['https://github.com/erich666/GraphicsGems/blob/master/LICENSE.md']
302,gSOAP-1.3b,gSOAP Public License v1.3b,False,,False,https://spdx.org/licenses/gSOAP-1.3b.json,660,https://spdx.org/licenses/gSOAP-1.3b.html,['http://www.cs.fsu.edu/~engelen/license.html']
303,gtkbook,gtkbook License,False,,False,https://spdx.org/licenses/gtkbook.json,396,https://spdx.org/licenses/gtkbook.html,"['https://github.com/slogan621/gtkbook', 'https://github.com/oetiker/rrdtool-1.x/blob/master/src/plbasename.c#L8-L11']"
304,Gutmann,Gutmann License,False,,False,https://spdx.org/licenses/Gutmann.json,104,https://spdx.org/licenses/Gutmann.html,['https://www.cs.auckland.ac.nz/~pgut001/dumpasn1.c']
305,HaskellReport,Haskell Language Report License,False,,False,https://spdx.org/licenses/HaskellReport.json,358,https://spdx.org/licenses/HaskellReport.html,['https://fedoraproject.org/wiki/Licensing/Haskell_Language_Report_License']
306,hdparm,hdparm License,False,,False,https://spdx.org/licenses/hdparm.json,450,https://spdx.org/licenses/hdparm.html,['https://github.com/Distrotech/hdparm/blob/4517550db29a91420fb2b020349523b1b4512df2/LICENSE.TXT']
307,HIDAPI,HIDAPI License,False,,False,https://spdx.org/licenses/HIDAPI.json,317,https://spdx.org/licenses/HIDAPI.html,['https://github.com/signal11/hidapi/blob/master/LICENSE-orig.txt']
308,Hippocratic-2.1,Hippocratic License 2.1,False,,False,https://spdx.org/licenses/Hippocratic-2.1.json,424,https://spdx.org/licenses/Hippocratic-2.1.html,"['https://firstdonoharm.dev/version/2/1/license.html', 'https://github.com/EthicalSource/hippocratic-license/blob/58c0e646d64ff6fbee275bfe2b9492f914e3ab2a/LICENSE.txt']"
309,HP-1986,Hewlett-Packard 1986 License,False,,False,https://spdx.org/licenses/HP-1986.json,479,https://spdx.org/licenses/HP-1986.html,['https://sourceware.org/git/?p=newlib-cygwin.git;a=blob;f=newlib/libc/machine/hppa/memchr.S;h=1cca3e5e8867aa4bffef1f75a5c1bba25c0c441e;hb=HEAD#l2']
310,HP-1989,Hewlett-Packard 1989 License,False,,False,https://spdx.org/licenses/HP-1989.json,653,https://spdx.org/licenses/HP-1989.html,['https://github.com/bleargh45/Data-UUID/blob/master/LICENSE']
311,HPND,Historical Permission Notice and Disclaimer,True,True,False,https://spdx.org/licenses/HPND.json,76,https://spdx.org/licenses/HPND.html,"['https://opensource.org/licenses/HPND', 'http://lists.opensource.org/pipermail/license-discuss_lists.opensource.org/2002-November/006304.html']"
312,HPND-DEC,Historical Permission Notice and Disclaimer - DEC variant,False,,False,https://spdx.org/licenses/HPND-DEC.json,593,https://spdx.org/licenses/HPND-DEC.html,['https://gitlab.freedesktop.org/xorg/app/xkbcomp/-/blob/master/COPYING?ref_type=heads#L69']
313,HPND-doc,Historical Permission Notice and Disclaimer - documentation variant,False,,False,https://spdx.org/licenses/HPND-doc.json,383,https://spdx.org/licenses/HPND-doc.html,"['https://gitlab.freedesktop.org/xorg/lib/libxext/-/blob/master/COPYING?ref_type=heads#L185-197', 'https://gitlab.freedesktop.org/xorg/lib/libxtst/-/blob/master/COPYING?ref_type=heads#L70-77']"
314,HPND-doc-sell,Historical Permission Notice and Disclaimer - documentation sell variant,False,,False,https://spdx.org/licenses/HPND-doc-sell.json,647,https://spdx.org/licenses/HPND-doc-sell.html,"['https://gitlab.freedesktop.org/xorg/lib/libxtst/-/blob/master/COPYING?ref_type=heads#L108-117', 'https://gitlab.freedesktop.org/xorg/lib/libxext/-/blob/master/COPYING?ref_type=heads#L153-162']"
315,HPND-export-US,HPND with US Government export control warning,False,,False,https://spdx.org/licenses/HPND-export-US.json,550,https://spdx.org/licenses/HPND-export-US.html,['https://www.kermitproject.org/ck90.html#source']
316,HPND-export-US-acknowledgement,HPND with US Government export control warning and acknowledgment,False,,False,https://spdx.org/licenses/HPND-export-US-acknowledgement.json,513,https://spdx.org/licenses/HPND-export-US-acknowledgement.html,"['https://github.com/krb5/krb5/blob/krb5-1.21.2-final/NOTICE#L831-L852', 'https://web.mit.edu/kerberos/krb5-1.21/doc/mitK5license.html']"
317,HPND-export-US-modify,HPND with US Government export control warning and modification rqmt,False,,False,https://spdx.org/licenses/HPND-export-US-modify.json,123,https://spdx.org/licenses/HPND-export-US-modify.html,"['https://github.com/krb5/krb5/blob/krb5-1.21.2-final/NOTICE#L1157-L1182', 'https://github.com/pythongssapi/k5test/blob/v0.10.3/K5TEST-LICENSE.txt']"
318,HPND-export2-US,HPND with US Government export control and 2 disclaimers,False,,False,https://spdx.org/licenses/HPND-export2-US.json,448,https://spdx.org/licenses/HPND-export2-US.html,"['https://github.com/krb5/krb5/blob/krb5-1.21.2-final/NOTICE#L111-L133', 'https://web.mit.edu/kerberos/krb5-1.21/doc/mitK5license.html']"
319,HPND-Fenneberg-Livingston,Historical Permission Notice and Disclaimer - Fenneberg-Livingston variant,False,,False,https://spdx.org/licenses/HPND-Fenneberg-Livingston.json,642,https://spdx.org/licenses/HPND-Fenneberg-Livingston.html,"['https://github.com/FreeRADIUS/freeradius-client/blob/master/COPYRIGHT#L32', 'https://github.com/radcli/radcli/blob/master/COPYRIGHT#L34']"
320,HPND-INRIA-IMAG,Historical Permission Notice and Disclaimer    - INRIA-IMAG variant,False,,False,https://spdx.org/licenses/HPND-INRIA-IMAG.json,582,https://spdx.org/licenses/HPND-INRIA-IMAG.html,['https://github.com/ppp-project/ppp/blob/master/pppd/ipv6cp.c#L75-L83']
